country,alliance,pageUrl,uranium
Platypus Island,SPQR,http://blocgame.com/stats.php?id=63909,
Lyranistan,Brotherhood of Nod,http://blocgame.com/stats.php?id=56860,2
Morovistan,The Divine Council,http://blocgame.com/stats.php?id=62905,
Tuonela,The Order,http://blocgame.com/stats.php?id=389,
Newsoka,The Divine Council,http://blocgame.com/stats.php?id=63105,
Aasyria,The Order,http://blocgame.com/stats.php?id=60967,
whitmanistan,The Order,http://blocgame.com/stats.php?id=36344,
Nerdia,Brotherhood of Nod,http://blocgame.com/stats.php?id=56451,1
LOCAI,Brotherhood of Nod,http://blocgame.com/stats.php?id=53011,
Asians,The Divine Council,http://blocgame.com/stats.php?id=41551,
Uzbekistanstan,The Order,http://blocgame.com/stats.php?id=47207,
Eastasia,The Order,http://blocgame.com/stats.php?id=63527,
Sovngarde,The Order,http://blocgame.com/stats.php?id=62626,
Laurence,Brotherhood of Nod,http://blocgame.com/stats.php?id=49637,1
VinnyNation,Brotherhood of Nod,http://blocgame.com/stats.php?id=62972,
Mirah,The Order,http://blocgame.com/stats.php?id=64191,
Kosan,The Divine Council,http://blocgame.com/stats.php?id=59227,
Ken no Taiyou,The Order,http://blocgame.com/stats.php?id=64029,
Raja Udang,PIRATES,http://blocgame.com/stats.php?id=61754,
Rome Reloaded,SPQR,http://blocgame.com/stats.php?id=1421,
Hitlerwasright,The Order,http://blocgame.com/stats.php?id=59621,
Markovia,The Federal Colonies,http://blocgame.com/stats.php?id=58369,
USSR,The Order,http://blocgame.com/stats.php?id=54182,
Coccoladia,The Federal Colonies,http://blocgame.com/stats.php?id=40289,
Shambala,Brotherhood of Nod,http://blocgame.com/stats.php?id=41268,
Batu putih,The Federal Colonies,http://blocgame.com/stats.php?id=61926,
Morjei,The Divine Council,http://blocgame.com/stats.php?id=53068,
Alamo,SPQR,http://blocgame.com/stats.php?id=40536,
Brutish Empire,SPQR,http://blocgame.com/stats.php?id=57265,
Lorigan,The Divine Council,http://blocgame.com/stats.php?id=59787,
Tamarlania,The Order,http://blocgame.com/stats.php?id=61626,
Glubistan,SPQR,http://blocgame.com/stats.php?id=63027,
Krakozhia,Interpol,http://blocgame.com/stats.php?id=39065,
Harezland,The Order,http://blocgame.com/stats.php?id=60587,
Mesopotamia,The Order,http://blocgame.com/stats.php?id=42045,
Femtonesia,Comintern,http://blocgame.com/stats.php?id=63083,
KingBding,The Order,http://blocgame.com/stats.php?id=63205,
Skekenhouse,The Order,http://blocgame.com/stats.php?id=62962,
Junovia,Interpol,http://blocgame.com/stats.php?id=63088,
Salama�a,The Order,http://blocgame.com/stats.php?id=63383,
south nation,PIRATES,http://blocgame.com/stats.php?id=61911,
Mingland,Brotherhood of Nod,http://blocgame.com/stats.php?id=63922,
Cameronia,Steel Brotherhood,http://blocgame.com/stats.php?id=62688,
The NLR,The Order,http://blocgame.com/stats.php?id=49701,
temasik,SPQR,http://blocgame.com/stats.php?id=62827,
Asiana,The Divine Council,http://blocgame.com/stats.php?id=62221,
Tron,Brotherhood of Nod,http://blocgame.com/stats.php?id=62967,2
Byzantium,Steel Brotherhood,http://blocgame.com/stats.php?id=41125,
nanas,The Divine Council,http://blocgame.com/stats.php?id=61809,
Mzab,Steel Brotherhood,http://blocgame.com/stats.php?id=63775,
Sintra,The Order,http://blocgame.com/stats.php?id=63167,
constania,The Divine Council,http://blocgame.com/stats.php?id=62606,
Lombardy,The Order,http://blocgame.com/stats.php?id=63882,
Southern Africa,The Order,http://blocgame.com/stats.php?id=48410,
CTSKRR,The Divine Council,http://blocgame.com/stats.php?id=60811,
Lothl�rien,,http://blocgame.com/stats.php?id=64165,
Mmhat,The Divine Council,http://blocgame.com/stats.php?id=45846,
Crimea,The Order,http://blocgame.com/stats.php?id=2570,
Ghost Shark,PIRATES,http://blocgame.com/stats.php?id=63863,
Jebawka,The Order,http://blocgame.com/stats.php?id=54304,
Conrad,SPQR,http://blocgame.com/stats.php?id=62640,
Neechanville,Steel Brotherhood,http://blocgame.com/stats.php?id=63023,
Alexandrastan,Brotherhood of Nod,http://blocgame.com/stats.php?id=39070,
Lubekran,Interpol,http://blocgame.com/stats.php?id=62568,
Lemonstan,Brotherhood of Nod,http://blocgame.com/stats.php?id=40048,4
Russophia,SPQR,http://blocgame.com/stats.php?id=54426,
Sepidajistan,Steel Brotherhood,http://blocgame.com/stats.php?id=59462,
Ferma,The Order,http://blocgame.com/stats.php?id=58784,
Deagle Nation!,Brotherhood of Nod,http://blocgame.com/stats.php?id=63100,
Ivalice,Interpol,http://blocgame.com/stats.php?id=63060,
New Luzon,The Order,http://blocgame.com/stats.php?id=63066,
Leinad,The Order,http://blocgame.com/stats.php?id=59332,
Almania,Brotherhood of Nod,http://blocgame.com/stats.php?id=51725,
Classia,Steel Brotherhood,http://blocgame.com/stats.php?id=63652,
Cubania,The Order,http://blocgame.com/stats.php?id=47349,
Jemut,PIRATES,http://blocgame.com/stats.php?id=61811,
Psilocybis,Brotherhood of Nod,http://blocgame.com/stats.php?id=62795,
South Uganda,The Divine Council,http://blocgame.com/stats.php?id=63128,
Treehouse,The Divine Council,http://blocgame.com/stats.php?id=58889,
Texastan,Interpol,http://blocgame.com/stats.php?id=58149,
Thair,The Order,http://blocgame.com/stats.php?id=60955,
SettingMoon,The Order,http://blocgame.com/stats.php?id=62839,
Selja,Brotherhood of Nod,http://blocgame.com/stats.php?id=63172,
Drelinka,SPQR,http://blocgame.com/stats.php?id=61556,
Bloodied Stools,The Divine Council,http://blocgame.com/stats.php?id=56997,
Feffiopia,The Divine Council,http://blocgame.com/stats.php?id=46505,
Rhod3sia,The Order,http://blocgame.com/stats.php?id=52679,
Tamil Kingdom,The Order,http://blocgame.com/stats.php?id=60964,
Biji Kurdistan,Brotherhood of Nod,http://blocgame.com/stats.php?id=52906,
SOPF,The United Nations,http://blocgame.com/stats.php?id=62841,
kweensnkans,,http://blocgame.com/stats.php?id=63345,
kobisbunga,Brotherhood of Nod,http://blocgame.com/stats.php?id=61609,
Puerto Libre,The Federal Colonies,http://blocgame.com/stats.php?id=61883,
Slavostan,Interpol,http://blocgame.com/stats.php?id=48188,1
Manturia-Korea,,http://blocgame.com/stats.php?id=64188,
the Haunted,The Order,http://blocgame.com/stats.php?id=63020,
Potatopia,Brotherhood of Nod,http://blocgame.com/stats.php?id=54037,
Deklain,The Divine Council,http://blocgame.com/stats.php?id=57066,
Silverra,PIRATES,http://blocgame.com/stats.php?id=61729,
Etiwan,The Divine Council,http://blocgame.com/stats.php?id=60056,
durkastan,SPQR,http://blocgame.com/stats.php?id=40488,
Empyrea,The Order,http://blocgame.com/stats.php?id=49411,
Johor,PIRATES,http://blocgame.com/stats.php?id=60442,
nation name,Interpol,http://blocgame.com/stats.php?id=49652,1
Psychotropia,Brotherhood of Nod,http://blocgame.com/stats.php?id=64125,
Petai Belalang,PIRATES,http://blocgame.com/stats.php?id=60767,
Dondang Sayang,PIRATES,http://blocgame.com/stats.php?id=60628,
Walletia,The United Nations,http://blocgame.com/stats.php?id=62978,
Zinlandia,Steel Brotherhood,http://blocgame.com/stats.php?id=45831,
Eastern Eagle,Brotherhood of Nod,http://blocgame.com/stats.php?id=63045,
Gammaria,The Order,http://blocgame.com/stats.php?id=64334,
Cyleia,,http://blocgame.com/stats.php?id=62784,
Communistutopia,The Order,http://blocgame.com/stats.php?id=49796,
Pingaslavia,Interpol,http://blocgame.com/stats.php?id=6730,1
Buchepalia,Brotherhood of Nod,http://blocgame.com/stats.php?id=60734,
shair,The Divine Council,http://blocgame.com/stats.php?id=62199,
the murloc,Steel Brotherhood,http://blocgame.com/stats.php?id=63727,
Ekodebota,The Divine Council,http://blocgame.com/stats.php?id=53422,
Inderapura,PIRATES,http://blocgame.com/stats.php?id=62928,
Syphirious,Interpol,http://blocgame.com/stats.php?id=59670,
Crayola,The Order,http://blocgame.com/stats.php?id=63958,
Jerung Hantu,,http://blocgame.com/stats.php?id=60505,
Borneon,PIRATES,http://blocgame.com/stats.php?id=61947,4
Kilij,The Order,http://blocgame.com/stats.php?id=63687,
Chūya,The Order,http://blocgame.com/stats.php?id=63950,
Dess,The Order,http://blocgame.com/stats.php?id=63586,
North Nubia,,http://blocgame.com/stats.php?id=63084,
malapetaka,The Divine Council,http://blocgame.com/stats.php?id=60813,
Zanyslavia,The Khilafah,http://blocgame.com/stats.php?id=41452,
Valtania,The Federal Colonies,http://blocgame.com/stats.php?id=62525,
SUNGAI KERAK,PIRATES,http://blocgame.com/stats.php?id=61710,1
Crapostan,Brotherhood of Nod,http://blocgame.com/stats.php?id=44789,
pelle,The Order,http://blocgame.com/stats.php?id=52372,
Reim,The Divine Council,http://blocgame.com/stats.php?id=41073,
Kekistonia,The Order,http://blocgame.com/stats.php?id=63476,
Derse Moon,The Order,http://blocgame.com/stats.php?id=62965,
venua,The Order,http://blocgame.com/stats.php?id=54363,
Tandak,PIRATES,http://blocgame.com/stats.php?id=62201,
Langgarpura,The Order,http://blocgame.com/stats.php?id=60629,
Aryana,Steel Brotherhood,http://blocgame.com/stats.php?id=2313,
Niggerito,SPQR,http://blocgame.com/stats.php?id=63087,
Genocidia,The Divine Council,http://blocgame.com/stats.php?id=41291,
Cancer,The Order,http://blocgame.com/stats.php?id=58745,
Northmarch,PIRATES,http://blocgame.com/stats.php?id=41629,
Nueva Galicia,Che Guevara League,http://blocgame.com/stats.php?id=60349,
Kelate.net,PIRATES,http://blocgame.com/stats.php?id=61907,1
Bananarama,Brotherhood of Nod,http://blocgame.com/stats.php?id=62710,
Hivemindia,The Order,http://blocgame.com/stats.php?id=63286,
New Caucasus,The Order,http://blocgame.com/stats.php?id=4392,
Brohan,Brotherhood of Nod,http://blocgame.com/stats.php?id=40340,
KakMahPower,PIRATES,http://blocgame.com/stats.php?id=60656,
National_East,Steel Brotherhood,http://blocgame.com/stats.php?id=61888,
Nuwe Rhodesia,The Order,http://blocgame.com/stats.php?id=6338,
Greatest Ally,Brotherhood of Nod,http://blocgame.com/stats.php?id=49097,
Wernston,Illuminati,http://blocgame.com/stats.php?id=63951,
Huangdi,The Divine Council,http://blocgame.com/stats.php?id=59776,
Eleuthera,420 Empire,http://blocgame.com/stats.php?id=63029,
Safavid Persia,The Order,http://blocgame.com/stats.php?id=63199,
Libratio,Steel Brotherhood,http://blocgame.com/stats.php?id=40370,
Swagvila,The Divine Council,http://blocgame.com/stats.php?id=45990,
Kulunkjin,SPQR,http://blocgame.com/stats.php?id=62604,
Zen killer,The Divine Council,http://blocgame.com/stats.php?id=63107,
Burke Tome,Brotherhood of Nod,http://blocgame.com/stats.php?id=63028,
Veganism,,http://blocgame.com/stats.php?id=46041,
Guadianstan,Steel Brotherhood,http://blocgame.com/stats.php?id=63250,
Puella-Magia,Brotherhood of Nod,http://blocgame.com/stats.php?id=35958,
Parameswara,Brotherhood of Nod,http://blocgame.com/stats.php?id=56360,
S�l,Lithuanian Coalition,http://blocgame.com/stats.php?id=61589,
Tyanra,SPQR,http://blocgame.com/stats.php?id=60365,1
Efren,Steel Brotherhood,http://blocgame.com/stats.php?id=62725,
Junoma,Steel Brotherhood,http://blocgame.com/stats.php?id=40349,1
Targaria,SPQR,http://blocgame.com/stats.php?id=42946,
Kritch,Steel Brotherhood,http://blocgame.com/stats.php?id=63155,4
Bluegene/Q,The Divine Council,http://blocgame.com/stats.php?id=61506,
Addin-territory,PIRATES,http://blocgame.com/stats.php?id=62712,
Kozakura,The Divine Council,http://blocgame.com/stats.php?id=48894,
ADAMLAND,The Order,http://blocgame.com/stats.php?id=60764,
Alohaha,,http://blocgame.com/stats.php?id=57669,
Kyranistan,,http://blocgame.com/stats.php?id=61263,
Top Hat,Brotherhood of Nod,http://blocgame.com/stats.php?id=61121,
Kukulala,The Divine Council,http://blocgame.com/stats.php?id=60796,
HARDGAY♂,The Order,http://blocgame.com/stats.php?id=63324,
Celtic Nations,Brotherhood of Nod,http://blocgame.com/stats.php?id=7511,
BOOP,Steel Brotherhood,http://blocgame.com/stats.php?id=58737,
Fongelesia,The Divine Council,http://blocgame.com/stats.php?id=63041,
Savannah,Steel Brotherhood,http://blocgame.com/stats.php?id=49817,1
Novaya,The Order,http://blocgame.com/stats.php?id=62840,
Malaysia Raya,PIRATES,http://blocgame.com/stats.php?id=61845,
OnePiece,PIRATES,http://blocgame.com/stats.php?id=63126,
Nuketown,The Divine Council,http://blocgame.com/stats.php?id=59614,
Aeter,The Order,http://blocgame.com/stats.php?id=61960,
SPNR,Comintern,http://blocgame.com/stats.php?id=51722,
One Star,The Divine Council,http://blocgame.com/stats.php?id=57783,
Mafros,Brotherhood of Nod,http://blocgame.com/stats.php?id=63788,
Eisen,The Order,http://blocgame.com/stats.php?id=53566,
Vanan,The Order,http://blocgame.com/stats.php?id=63339,
Transmekong,The United Nations,http://blocgame.com/stats.php?id=40195,
Romiia,The United Nations,http://blocgame.com/stats.php?id=60242,
South Park,SPQR,http://blocgame.com/stats.php?id=228,
Arina,Interpol,http://blocgame.com/stats.php?id=54480,
Aminichina,The Order,http://blocgame.com/stats.php?id=56720,
al-Bahrayn,The Order,http://blocgame.com/stats.php?id=59775,
Gallifrey,Steel Brotherhood,http://blocgame.com/stats.php?id=40351,
MakanBudak,The Order,http://blocgame.com/stats.php?id=60748,
Argon,Interpol,http://blocgame.com/stats.php?id=57323,
Giant Mechs,The Divine Council,http://blocgame.com/stats.php?id=60735,
axmbest,,http://blocgame.com/stats.php?id=61772,
Foodstuffs,Brotherhood of Nod,http://blocgame.com/stats.php?id=40676,
Kek Slovakia,The Order,http://blocgame.com/stats.php?id=63462,
Wielkopl,Steel Brotherhood,http://blocgame.com/stats.php?id=42376,1
Senandung Malam,PIRATES,http://blocgame.com/stats.php?id=61074,
FreakTopia,The Order,http://blocgame.com/stats.php?id=45527,
PolandThePower,Brotherhood of Nod,http://blocgame.com/stats.php?id=58217,
Casopia,The Order,http://blocgame.com/stats.php?id=63500,
Lomar,Steel Brotherhood,http://blocgame.com/stats.php?id=63175,
Krasnyyikistan,Socialist Arab Union,http://blocgame.com/stats.php?id=50209,
Utea,The Order,http://blocgame.com/stats.php?id=49905,
Weast America,Brotherhood of Nod,http://blocgame.com/stats.php?id=55778,
Lolesco,The Order,http://blocgame.com/stats.php?id=48289,
Civilia,Al-Qassam Brigades,http://blocgame.com/stats.php?id=62017,
Rengit,The Order,http://blocgame.com/stats.php?id=61769,
Mangkok,The Divine Council,http://blocgame.com/stats.php?id=62210,
Smyrno,Steel Brotherhood,http://blocgame.com/stats.php?id=62960,
Wafflonia,SPQR,http://blocgame.com/stats.php?id=63064,
BongoBongoBongo,The Order,http://blocgame.com/stats.php?id=63942,
Whitey,Brotherhood of Nod,http://blocgame.com/stats.php?id=4816,
kinabalu,,http://blocgame.com/stats.php?id=62887,
Middlewest,The Khilafah,http://blocgame.com/stats.php?id=63635,
CubeHead,SPQR,http://blocgame.com/stats.php?id=63001,
Justice,Brotherhood of Nod,http://blocgame.com/stats.php?id=62975,
johoreansouth,PIRATES,http://blocgame.com/stats.php?id=61895,
Northern Ghan,The Divine Council,http://blocgame.com/stats.php?id=62344,
TrumpCity,Steel Brotherhood,http://blocgame.com/stats.php?id=63769,
Shining Sun,Steel Brotherhood,http://blocgame.com/stats.php?id=61511,
Chicken rice,PIRATES,http://blocgame.com/stats.php?id=61750,
raja_png,PIRATES,http://blocgame.com/stats.php?id=62000,
Vorcs,PIRATES,http://blocgame.com/stats.php?id=61955,
HiredGun,The Order,http://blocgame.com/stats.php?id=53353,
Thermonia,The Order,http://blocgame.com/stats.php?id=53567,
Chistriania,The United Nations,http://blocgame.com/stats.php?id=63264,
Psiloybia,The Order,http://blocgame.com/stats.php?id=45249,
Malaysia.,PIRATES,http://blocgame.com/stats.php?id=63032,
KelabuAsap,The Divine Council,http://blocgame.com/stats.php?id=60664,
Violent Vegans,Interpol,http://blocgame.com/stats.php?id=48869,
Oilpotamia,Steel Brotherhood,http://blocgame.com/stats.php?id=64020,
Sordidia,The Order,http://blocgame.com/stats.php?id=63203,
KaleCepo,PIRATES,http://blocgame.com/stats.php?id=60711,
Turbanistan,The Order,http://blocgame.com/stats.php?id=63007,
saiya,The Order,http://blocgame.com/stats.php?id=61785,
Carpentaria,PIRATES,http://blocgame.com/stats.php?id=59901,
FuchukFakhu,PIRATES,http://blocgame.com/stats.php?id=61483,
methamphetamine,The Federal Colonies,http://blocgame.com/stats.php?id=61702,
fetiwert,The Federal Colonies,http://blocgame.com/stats.php?id=63124,
Olut,The Order,http://blocgame.com/stats.php?id=63682,
Viktoria,The Order,http://blocgame.com/stats.php?id=40188,
Briggs,SPQR,http://blocgame.com/stats.php?id=53442,
Kondominium,Steel Brotherhood,http://blocgame.com/stats.php?id=61576,1
schekels,,http://blocgame.com/stats.php?id=63381,
Shinystan,The Order,http://blocgame.com/stats.php?id=63522,
Cocobongo,The Divine Council,http://blocgame.com/stats.php?id=58193,
Rebel Scum,,http://blocgame.com/stats.php?id=63844,
Kuto,The Federal Colonies,http://blocgame.com/stats.php?id=40095,
Olympia,Brotherhood of Nod,http://blocgame.com/stats.php?id=51354,
Wankmuffin,,http://blocgame.com/stats.php?id=63325,
Edtopia,The Federal Colonies,http://blocgame.com/stats.php?id=249,
Wladimiria,The Divine Council,http://blocgame.com/stats.php?id=52318,
Whadjuk,The Khilafah,http://blocgame.com/stats.php?id=63576,
Yugoslothia,Brotherhood of Nod,http://blocgame.com/stats.php?id=55968,
Skhimm,Brotherhood of Nod,http://blocgame.com/stats.php?id=52362,
Losong,PIRATES,http://blocgame.com/stats.php?id=60570,
Shiba,The Order,http://blocgame.com/stats.php?id=56250,
The Abarat,The Order,http://blocgame.com/stats.php?id=40068,
Iwo Jima,The Order,http://blocgame.com/stats.php?id=63259,
Borgasha,The Order,http://blocgame.com/stats.php?id=63407,
Magical Horses,The Divine Council,http://blocgame.com/stats.php?id=51070,
Vursian,PIRATES,http://blocgame.com/stats.php?id=62540,
Bango,The Order,http://blocgame.com/stats.php?id=59337,
Moneymaking,Steel Brotherhood,http://blocgame.com/stats.php?id=64271,
The UCOA,Steel Brotherhood,http://blocgame.com/stats.php?id=54240,
Mesopotamiaa,Brotherhood of Nod,http://blocgame.com/stats.php?id=63058,
Yummy Foods,Interpol,http://blocgame.com/stats.php?id=54376,
San Palomino,The Order,http://blocgame.com/stats.php?id=51103,
Black Widow,The Order,http://blocgame.com/stats.php?id=62290,
TheDarkSide,The Divine Council,http://blocgame.com/stats.php?id=63139,1
Baloq,,http://blocgame.com/stats.php?id=61900,
Baden,The Divine Council,http://blocgame.com/stats.php?id=48684,
MalayaMMP,PIRATES,http://blocgame.com/stats.php?id=62383,
Conferan,The Divine Council,http://blocgame.com/stats.php?id=56710,1
Andes,The Divine Council,http://blocgame.com/stats.php?id=51547,
Memiaya,Che Guevara League,http://blocgame.com/stats.php?id=62980,
Opallia,The Order,http://blocgame.com/stats.php?id=63666,
Black Swamp,The United Nations,http://blocgame.com/stats.php?id=51451,
mani,SPQR,http://blocgame.com/stats.php?id=62912,
Pan-demo-nium,Steel Brotherhood,http://blocgame.com/stats.php?id=63195,
Terengganu,The Divine Council,http://blocgame.com/stats.php?id=60615,
Afrikizonia,Steel Brotherhood,http://blocgame.com/stats.php?id=63138,
Alanies,The Order,http://blocgame.com/stats.php?id=54617,
Zorin,The Divine Council,http://blocgame.com/stats.php?id=59970,
Infernistan,Socialist Arab Union,http://blocgame.com/stats.php?id=60304,
Zuyazayuza,The Order,http://blocgame.com/stats.php?id=62470,
Freedom Treaty,The United Nations,http://blocgame.com/stats.php?id=57690,
Oileum,The Divine Council,http://blocgame.com/stats.php?id=63070,
Walmart,The Order,http://blocgame.com/stats.php?id=57903,
Amazonian Union,Steel Brotherhood,http://blocgame.com/stats.php?id=59377,
Cartenesia,,http://blocgame.com/stats.php?id=58994,
Shekel Land,The Order,http://blocgame.com/stats.php?id=54689,
United-Muslims,SPQR,http://blocgame.com/stats.php?id=61674,
Llorxye,PIRATES,http://blocgame.com/stats.php?id=61688,
Pokok Sena,PIRATES,http://blocgame.com/stats.php?id=63144,
ZumbaZumbi,PIRATES,http://blocgame.com/stats.php?id=61482,
Darkstone,The Divine Council,http://blocgame.com/stats.php?id=57176,
Sarnath,The Federal Colonies,http://blocgame.com/stats.php?id=62981,
Gobi,The Order,http://blocgame.com/stats.php?id=61919,
Farsland,,http://blocgame.com/stats.php?id=63782,
Fludena,,http://blocgame.com/stats.php?id=64036,
rio de la plata,Lithuanian Coalition,http://blocgame.com/stats.php?id=63051,
Sulon Grande,Brotherhood of Nod,http://blocgame.com/stats.php?id=61038,
Lyon,The Order,http://blocgame.com/stats.php?id=57382,
Khebabistan,Steel Brotherhood,http://blocgame.com/stats.php?id=51401,
Norwegia,The Order,http://blocgame.com/stats.php?id=30,
Nova Ikaki,Brotherhood of Nod,http://blocgame.com/stats.php?id=55911,
Infebiousness,Interpol,http://blocgame.com/stats.php?id=40302,
Tuaran,,http://blocgame.com/stats.php?id=61828,
Thimerica,Steel Brotherhood,http://blocgame.com/stats.php?id=62883,
United Pacific,Comintern,http://blocgame.com/stats.php?id=63488,
umok,The United Nations,http://blocgame.com/stats.php?id=62724,
Lepkonia,Interpol,http://blocgame.com/stats.php?id=55854,
JIDF,,http://blocgame.com/stats.php?id=63700,
Pembunuh,PIRATES,http://blocgame.com/stats.php?id=63737,
Praetoria Augusta,SPQR,http://blocgame.com/stats.php?id=39021,
New Wadowice,The Order,http://blocgame.com/stats.php?id=61637,
Sumchakastan,The Khilafah,http://blocgame.com/stats.php?id=41444,
SemutHitam,PIRATES,http://blocgame.com/stats.php?id=62379,
Rararaland,The Divine Council,http://blocgame.com/stats.php?id=49272,
DFWEFWEF,Interpol,http://blocgame.com/stats.php?id=55118,
Robots,Interpol,http://blocgame.com/stats.php?id=40242,
Labuair,PIRATES,http://blocgame.com/stats.php?id=62573,
Based World,SPQR,http://blocgame.com/stats.php?id=58035,
Persona-Grata,PIRATES,http://blocgame.com/stats.php?id=60788,
AfganiBoy,The United Nations,http://blocgame.com/stats.php?id=62098,
Plob,Brotherhood of Nod,http://blocgame.com/stats.php?id=58260,
The Deserted,Steel Brotherhood,http://blocgame.com/stats.php?id=40459,
Nameck,Interpol,http://blocgame.com/stats.php?id=61968,
pooperheds,,http://blocgame.com/stats.php?id=63903,
Neu-Berlin,The Order,http://blocgame.com/stats.php?id=63504,
Uzbekistan.,Brotherhood of Nod,http://blocgame.com/stats.php?id=59590,
OurTown,The Order,http://blocgame.com/stats.php?id=51681,
720instaswap,,http://blocgame.com/stats.php?id=62714,
Ballz,The Khilafah,http://blocgame.com/stats.php?id=64063,
Spaolia,The Federal Colonies,http://blocgame.com/stats.php?id=56845,
DevilsAndDemons,Steel Brotherhood,http://blocgame.com/stats.php?id=64116,
Ralu,The Divine Council,http://blocgame.com/stats.php?id=59527,
sandakania,The Order,http://blocgame.com/stats.php?id=60600,
House Tyrell,Illuminati,http://blocgame.com/stats.php?id=64093,
Novi Sad,The Divine Council,http://blocgame.com/stats.php?id=60752,
Bantersciz,,http://blocgame.com/stats.php?id=63604,
Sana,The Order,http://blocgame.com/stats.php?id=60262,
RumBumistan,,http://blocgame.com/stats.php?id=64055,
Rudenia,The Divine Council,http://blocgame.com/stats.php?id=47765,
Cyrodill,The Order,http://blocgame.com/stats.php?id=53759,
Nimei,Illuminati,http://blocgame.com/stats.php?id=64022,
Boomtown,The Divine Council,http://blocgame.com/stats.php?id=50054,
carefree,The Order,http://blocgame.com/stats.php?id=61669,
Thinkpad,The Order,http://blocgame.com/stats.php?id=63332,
Tyrantia,The Divine Council,http://blocgame.com/stats.php?id=40238,3
Haaga,The Federal Colonies,http://blocgame.com/stats.php?id=64322,
Rogue Nation,The Order,http://blocgame.com/stats.php?id=64135,
Octobia,The Federal Colonies,http://blocgame.com/stats.php?id=61272,
lordmason22,,http://blocgame.com/stats.php?id=63733,
qaiserazalea,,http://blocgame.com/stats.php?id=61763,
Utopiastan,The Order,http://blocgame.com/stats.php?id=56876,
Idaho,The Order,http://blocgame.com/stats.php?id=63484,
sandshark,The Order,http://blocgame.com/stats.php?id=62581,
Fedorians,Illuminati,http://blocgame.com/stats.php?id=64028,
Osia,Brotherhood of Nod,http://blocgame.com/stats.php?id=40431,
Prometheus,The Divine Council,http://blocgame.com/stats.php?id=56022,
Honesty,,http://blocgame.com/stats.php?id=62094,
Syraan,The Order,http://blocgame.com/stats.php?id=59870,
Terra Predonum,Steel Brotherhood,http://blocgame.com/stats.php?id=62885,
AtlasCorp,Brotherhood of Nod,http://blocgame.com/stats.php?id=63122,
Bolshevikistan,Brotherhood of Nod,http://blocgame.com/stats.php?id=60189,
Gumbo,Steel Brotherhood,http://blocgame.com/stats.php?id=64201,
New Armenia,The United Nations,http://blocgame.com/stats.php?id=63991,
Nahrin,PIRATES,http://blocgame.com/stats.php?id=62160,
Alor Janggus,The Order,http://blocgame.com/stats.php?id=63141,
