country,alliance,uranium,pageUrl
TheDarkSide,The Divine Council,1,http://blocgame.com/stats.php?id=63139
Platypus Island,SPQR,,http://blocgame.com/stats.php?id=63909
Raja Udang,PIRATES,,http://blocgame.com/stats.php?id=61754
Morovistan,The Divine Council,,http://blocgame.com/stats.php?id=62905
Sovngarde,The Order,,http://blocgame.com/stats.php?id=62626
Tuonela,The Order,,http://blocgame.com/stats.php?id=389
Newsoka,The Divine Council,,http://blocgame.com/stats.php?id=63105
LOCAI,Brotherhood of Nod,,http://blocgame.com/stats.php?id=53011
Aasyria,The Order,,http://blocgame.com/stats.php?id=60967
Conferan,The Divine Council,1,http://blocgame.com/stats.php?id=56710
Junoma,Steel Brotherhood,1,http://blocgame.com/stats.php?id=40349
Uzbekistanstan,The Order,,http://blocgame.com/stats.php?id=47207
whitmanistan,The Order,,http://blocgame.com/stats.php?id=36344
Ken no Taiyou,The Order,,http://blocgame.com/stats.php?id=64029
VinnyNation,Brotherhood of Nod,,http://blocgame.com/stats.php?id=62972
Cirno,The Federal Colonies,1,http://blocgame.com/stats.php?id=43375
Mirah,The Order,,http://blocgame.com/stats.php?id=64191
Rome Reloaded,SPQR,,http://blocgame.com/stats.php?id=1421
Kosan,The Divine Council,,http://blocgame.com/stats.php?id=59227
Asiana,The Divine Council,,http://blocgame.com/stats.php?id=62221
Eastasia,The Order,,http://blocgame.com/stats.php?id=63527
Byzantium,Steel Brotherhood,,http://blocgame.com/stats.php?id=41125
Hitlerwasright,The Order,,http://blocgame.com/stats.php?id=59621
Leinad,The Order,,http://blocgame.com/stats.php?id=59332
Batu putih,The Federal Colonies,,http://blocgame.com/stats.php?id=61926
Coccoladia,The Federal Colonies,,http://blocgame.com/stats.php?id=40289
USSR,The Order,,http://blocgame.com/stats.php?id=54182
Morjei,The Divine Council,,http://blocgame.com/stats.php?id=53068
Skekenhouse,The Order,,http://blocgame.com/stats.php?id=62962
Markovia,The Federal Colonies,,http://blocgame.com/stats.php?id=58369
Shambala,Brotherhood of Nod,,http://blocgame.com/stats.php?id=41268
nanas,The Divine Council,,http://blocgame.com/stats.php?id=61809
Brutish Empire,Brotherhood of Nod,,http://blocgame.com/stats.php?id=57265
Harezland,The Order,,http://blocgame.com/stats.php?id=60587
Asians,The Divine Council,,http://blocgame.com/stats.php?id=41551
Alamo,SPQR,,http://blocgame.com/stats.php?id=40536
Lorigan,The Divine Council,,http://blocgame.com/stats.php?id=59787
KingBding,The Order,,http://blocgame.com/stats.php?id=63205
Tamarlania,The Order,,http://blocgame.com/stats.php?id=61626
Krakozhia,Interpol,,http://blocgame.com/stats.php?id=39065
south nation,PIRATES,,http://blocgame.com/stats.php?id=61911
Salama�a,The Order,,http://blocgame.com/stats.php?id=63383
Mesopotamia,The Order,,http://blocgame.com/stats.php?id=42045
Cameronia,Steel Brotherhood,,http://blocgame.com/stats.php?id=62688
Mzab,Steel Brotherhood,,http://blocgame.com/stats.php?id=63775
Junovia,Interpol,,http://blocgame.com/stats.php?id=63088
Glubistan,SPQR,,http://blocgame.com/stats.php?id=63027
Crimea,The Order,,http://blocgame.com/stats.php?id=2570
Mmhat,The Divine Council,,http://blocgame.com/stats.php?id=45846
Ghost Shark,PIRATES,,http://blocgame.com/stats.php?id=63863
Tamil Kingdom,The Order,,http://blocgame.com/stats.php?id=60964
Mingland,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63922
Sepidajistan,Steel Brotherhood,,http://blocgame.com/stats.php?id=59462
Sintra,The Order,,http://blocgame.com/stats.php?id=63167
Lubekran,Interpol,,http://blocgame.com/stats.php?id=62568
The NLR,The Order,,http://blocgame.com/stats.php?id=49701
Alexandrastan,Brotherhood of Nod,,http://blocgame.com/stats.php?id=39070
Southern Africa,The Order,,http://blocgame.com/stats.php?id=48410
Lombardy,The Order,,http://blocgame.com/stats.php?id=63882
Conrad,SPQR,,http://blocgame.com/stats.php?id=62640
Jemut,PIRATES,,http://blocgame.com/stats.php?id=61811
Ferma,The Order,,http://blocgame.com/stats.php?id=58784
Psilocybis,Brotherhood of Nod,,http://blocgame.com/stats.php?id=62795
SettingMoon,The Order,,http://blocgame.com/stats.php?id=62839
Khuzestan,The Federal Colonies,2,http://blocgame.com/stats.php?id=48914
Johor,PIRATES,,http://blocgame.com/stats.php?id=60442
Cyleia,,,http://blocgame.com/stats.php?id=62784
Neechanville,Steel Brotherhood,,http://blocgame.com/stats.php?id=63023
New Luzon,The Order,,http://blocgame.com/stats.php?id=63066
Thair,The Order,,http://blocgame.com/stats.php?id=60955
Puerto Libre,The Federal Colonies,1,http://blocgame.com/stats.php?id=61883
kweensnkans,,,http://blocgame.com/stats.php?id=63345
constania,The Divine Council,,http://blocgame.com/stats.php?id=62606
Cubania,The Order,,http://blocgame.com/stats.php?id=47349
Treehouse,The Divine Council,,http://blocgame.com/stats.php?id=58889
Texastan,Interpol,,http://blocgame.com/stats.php?id=58149
Jebawka,The Order,,http://blocgame.com/stats.php?id=54304
TerapBuduLipis,The Divine Council,1,http://blocgame.com/stats.php?id=60513
Deklain,The Divine Council,,http://blocgame.com/stats.php?id=57066
Slavostan,Interpol,1,http://blocgame.com/stats.php?id=48188
Lothl�rien,,,http://blocgame.com/stats.php?id=64165
Manturia-Korea,,,http://blocgame.com/stats.php?id=64188
Drelinka,SPQR,,http://blocgame.com/stats.php?id=61556
Potatopia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=54037
Rhod3sia,The Order,,http://blocgame.com/stats.php?id=52679
Biji Kurdistan,Brotherhood of Nod,,http://blocgame.com/stats.php?id=52906
Crayola,The Order,,http://blocgame.com/stats.php?id=63958
Zinlandia,Steel Brotherhood,,http://blocgame.com/stats.php?id=45831
Veganism,,,http://blocgame.com/stats.php?id=46041
Eastern Eagle,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63045
Silverra,PIRATES,,http://blocgame.com/stats.php?id=61729
CTSKRR,The Divine Council,,http://blocgame.com/stats.php?id=60811
Nueva Galicia,Che Guevara League,,http://blocgame.com/stats.php?id=60349
Psychotropia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=64125
Deagle Nation!,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63100
Ivalice,Interpol,,http://blocgame.com/stats.php?id=63060
Almania,Brotherhood of Nod,,http://blocgame.com/stats.php?id=51725
the murloc,Steel Brotherhood,,http://blocgame.com/stats.php?id=63727
Feffiopia,The Divine Council,,http://blocgame.com/stats.php?id=46505
Communistutopia,The Order,,http://blocgame.com/stats.php?id=49796
North Nubia,SPQR,,http://blocgame.com/stats.php?id=63084
Zen killer,The Divine Council,1,http://blocgame.com/stats.php?id=63107
the Haunted,The Order,,http://blocgame.com/stats.php?id=63020
malapetaka,The Divine Council,,http://blocgame.com/stats.php?id=60813
Giant Mechs,The Divine Council,,http://blocgame.com/stats.php?id=60735
SOPF,The United Nations,,http://blocgame.com/stats.php?id=62841
Petai Belalang,PIRATES,,http://blocgame.com/stats.php?id=60767
Russophia,,,http://blocgame.com/stats.php?id=54426
Bloodied Stools,The Divine Council,,http://blocgame.com/stats.php?id=56997
Kilij,The Order,,http://blocgame.com/stats.php?id=63687
Northmarch,PIRATES,,http://blocgame.com/stats.php?id=41629
Dondang Sayang,PIRATES,,http://blocgame.com/stats.php?id=60628
Parameswara,Brotherhood of Nod,,http://blocgame.com/stats.php?id=56360
Buchepalia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=60734
Zanyslavia,The Khilafah,,http://blocgame.com/stats.php?id=41452
Langgarpura,The Order,,http://blocgame.com/stats.php?id=60629
S�l,Lithuanian Coalition,,http://blocgame.com/stats.php?id=61589
kobisbunga,Brotherhood of Nod,,http://blocgame.com/stats.php?id=61609
Fongelesia,The Divine Council,,http://blocgame.com/stats.php?id=63041
Huangdi,The Divine Council,,http://blocgame.com/stats.php?id=59776
Chūya,The Order,,http://blocgame.com/stats.php?id=63950
shair,The Divine Council,,http://blocgame.com/stats.php?id=62199
Walletia,The United Nations,,http://blocgame.com/stats.php?id=62978
New Caucasus,The Order,,http://blocgame.com/stats.php?id=4392
Syphirious,Interpol,,http://blocgame.com/stats.php?id=59670
ADAMLAND,The Order,,http://blocgame.com/stats.php?id=60764
Lyranistan,Brotherhood of Nod,2,http://blocgame.com/stats.php?id=56860
al-Bahrayn,The Order,,http://blocgame.com/stats.php?id=59775
Selja,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63172
Inderapura,PIRATES,,http://blocgame.com/stats.php?id=62928
Eleuthera,420 Empire,,http://blocgame.com/stats.php?id=63029
Gammaria,The Order,,http://blocgame.com/stats.php?id=64334
National_East,Steel Brotherhood,,http://blocgame.com/stats.php?id=61888
Safavid Persia,The Order,,http://blocgame.com/stats.php?id=63199
Classia,Steel Brotherhood,,http://blocgame.com/stats.php?id=63652
Niggerito,SPQR,,http://blocgame.com/stats.php?id=63087
Brohan,Brotherhood of Nod,,http://blocgame.com/stats.php?id=40340
venua,The Order,,http://blocgame.com/stats.php?id=54363
Valtania,The Federal Colonies,,http://blocgame.com/stats.php?id=62525
Aryana,Steel Brotherhood,,http://blocgame.com/stats.php?id=2313
Romiia,The United Nations,,http://blocgame.com/stats.php?id=60242
bakhang,The Order,,http://blocgame.com/stats.php?id=60485
Nerdia,Brotherhood of Nod,1,http://blocgame.com/stats.php?id=56451
SPNR,Brotherhood of Nod,,http://blocgame.com/stats.php?id=51722
Eisen,The Order,,http://blocgame.com/stats.php?id=53566
Tyrantia,The Divine Council,3,http://blocgame.com/stats.php?id=40238
Malaysia Raya,PIRATES,,http://blocgame.com/stats.php?id=61845
MakanBudak,The Order,,http://blocgame.com/stats.php?id=60748
Chrome,The Divine Council,,http://blocgame.com/stats.php?id=62534
Genocidia,The Divine Council,,http://blocgame.com/stats.php?id=41291
Ekodebota,The Divine Council,,http://blocgame.com/stats.php?id=53422
Malaysia.,PIRATES,,http://blocgame.com/stats.php?id=63032
Reim,The Divine Council,,http://blocgame.com/stats.php?id=41073
pelle,The Order,,http://blocgame.com/stats.php?id=52372
South Uganda,The Divine Council,,http://blocgame.com/stats.php?id=63128
Jerung Hantu,SPQR,,http://blocgame.com/stats.php?id=60505
Bluegene/Q,The Divine Council,,http://blocgame.com/stats.php?id=61506
temasik,SPQR,,http://blocgame.com/stats.php?id=62827
One Star,The Divine Council,,http://blocgame.com/stats.php?id=57783
Lomar,Steel Brotherhood,,http://blocgame.com/stats.php?id=63175
Empyrea,The Order,,http://blocgame.com/stats.php?id=49411
kinabalu,,,http://blocgame.com/stats.php?id=62887
Kekistonia,The Order,,http://blocgame.com/stats.php?id=63476
KakMahPower,PIRATES,,http://blocgame.com/stats.php?id=60656
Swagvila,The Divine Council,,http://blocgame.com/stats.php?id=45990
Dess,The Order,,http://blocgame.com/stats.php?id=63586
Celtic Nations,Brotherhood of Nod,,http://blocgame.com/stats.php?id=7511
Greatest Ally,Brotherhood of Nod,,http://blocgame.com/stats.php?id=49097
Wernston,Illuminati,,http://blocgame.com/stats.php?id=63951
Derse Moon,The Order,,http://blocgame.com/stats.php?id=62965
Kukulala,The Divine Council,,http://blocgame.com/stats.php?id=60796
methamphetamine,The Federal Colonies,,http://blocgame.com/stats.php?id=61702
FuchukFakhu,PIRATES,,http://blocgame.com/stats.php?id=61483
Gallifrey,Steel Brotherhood,,http://blocgame.com/stats.php?id=40351
Foodstuffs,Brotherhood of Nod,,http://blocgame.com/stats.php?id=40676
TrumpCity,Steel Brotherhood,,http://blocgame.com/stats.php?id=63769
Libratio,Steel Brotherhood,,http://blocgame.com/stats.php?id=40370
Hivemindia,The Order,,http://blocgame.com/stats.php?id=63286
Aminichina,The Order,,http://blocgame.com/stats.php?id=56720
Chicken rice,PIRATES,,http://blocgame.com/stats.php?id=61750
Senandung Malam,PIRATES,,http://blocgame.com/stats.php?id=61074
Cancer,The Order,,http://blocgame.com/stats.php?id=58745
Rengit,The Order,,http://blocgame.com/stats.php?id=61769
BongoBongoBongo,The Order,,http://blocgame.com/stats.php?id=63942
Oilpotamia,Steel Brotherhood,,http://blocgame.com/stats.php?id=64020
Tandak,PIRATES,,http://blocgame.com/stats.php?id=62201
Justice,Brotherhood of Nod,,http://blocgame.com/stats.php?id=62975
Burke Tome,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63028
Alohaha,,,http://blocgame.com/stats.php?id=57669
Pan-demo-nium,Steel Brotherhood,,http://blocgame.com/stats.php?id=63195
Nuketown,The Divine Council,,http://blocgame.com/stats.php?id=59614
OnePiece,PIRATES,,http://blocgame.com/stats.php?id=63126
schekels,,,http://blocgame.com/stats.php?id=63381
Kozakura,The Divine Council,,http://blocgame.com/stats.php?id=48894
CubeHead,SPQR,,http://blocgame.com/stats.php?id=63001
Northern Ghan,The Divine Council,,http://blocgame.com/stats.php?id=62344
Nuwe Rhodesia,The Order,,http://blocgame.com/stats.php?id=6338
Mesopotamiaa,Brotherhood of Nod,,http://blocgame.com/stats.php?id=63058
Shiba,The Order,,http://blocgame.com/stats.php?id=56250
Krasnyyikistan,Socialist Arab Union,,http://blocgame.com/stats.php?id=50209
Puella-Magia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=35958
saiya,The Order,,http://blocgame.com/stats.php?id=61785
Novaya,The Order,,http://blocgame.com/stats.php?id=62840
Efren,Steel Brotherhood,,http://blocgame.com/stats.php?id=62725
Kulunkjin,SPQR,,http://blocgame.com/stats.php?id=62604
Carpentaria,PIRATES,,http://blocgame.com/stats.php?id=59901
Black Widow,The Order,,http://blocgame.com/stats.php?id=62290
Tyanra,SPQR,1,http://blocgame.com/stats.php?id=60365
ZAMENTA,The Order,1,http://blocgame.com/stats.php?id=61998
Kuto,The Federal Colonies,,http://blocgame.com/stats.php?id=40095
Kyranistan,,,http://blocgame.com/stats.php?id=61263
Memiaya,Che Guevara League,,http://blocgame.com/stats.php?id=62980
Zeon Alliance,The Divine Council,1,http://blocgame.com/stats.php?id=62248
Violent Vegans,Interpol,,http://blocgame.com/stats.php?id=48869
Addin-territory,PIRATES,,http://blocgame.com/stats.php?id=62712
South Park,SPQR,,http://blocgame.com/stats.php?id=228
Oileum,The Divine Council,,http://blocgame.com/stats.php?id=63070
Weast America,Brotherhood of Nod,,http://blocgame.com/stats.php?id=55778
San Palomino,The Order,,http://blocgame.com/stats.php?id=51103
HARDGAY♂,The Order,,http://blocgame.com/stats.php?id=63324
Transmekong,The United Nations,,http://blocgame.com/stats.php?id=40195
Top Hat,,,http://blocgame.com/stats.php?id=61121
KelabuAsap,The Divine Council,,http://blocgame.com/stats.php?id=60664
Vanan,The Order,,http://blocgame.com/stats.php?id=63339
Baden,The Divine Council,,http://blocgame.com/stats.php?id=48684
Rudenia,The Divine Council,,http://blocgame.com/stats.php?id=47765
Farsland,,,http://blocgame.com/stats.php?id=63782
Guadianstan,Steel Brotherhood,,http://blocgame.com/stats.php?id=63250
Infernistan,Socialist Arab Union,,http://blocgame.com/stats.php?id=60304
Casopia,,,http://blocgame.com/stats.php?id=63500
Baloq,,,http://blocgame.com/stats.php?id=61900
rio de la plata,Lithuanian Coalition,,http://blocgame.com/stats.php?id=63051
Aeter,The Order,,http://blocgame.com/stats.php?id=61960
Lolesco,The Order,,http://blocgame.com/stats.php?id=48289
Whitey,Brotherhood of Nod,,http://blocgame.com/stats.php?id=4816
Cocobongo,The Divine Council,,http://blocgame.com/stats.php?id=58193
Shining Sun,Steel Brotherhood,,http://blocgame.com/stats.php?id=61511
Arina,Interpol,,http://blocgame.com/stats.php?id=54480
Freedom Treaty,The United Nations,,http://blocgame.com/stats.php?id=57690
Zorin,The Divine Council,,http://blocgame.com/stats.php?id=59970
Argon,Interpol,,http://blocgame.com/stats.php?id=57323
Thermonia,The Order,,http://blocgame.com/stats.php?id=53567
Kek Slovakia,The Order,,http://blocgame.com/stats.php?id=63462
BOOP,Steel Brotherhood,,http://blocgame.com/stats.php?id=58737
Fludena,,,http://blocgame.com/stats.php?id=64036
The UCOA,Steel Brotherhood,,http://blocgame.com/stats.php?id=54240
mani,,,http://blocgame.com/stats.php?id=62912
Utea,The Order,,http://blocgame.com/stats.php?id=49905
Whadjuk,The Khilafah,,http://blocgame.com/stats.php?id=63576
Yugoslothia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=55968
Mangkok,The Divine Council,,http://blocgame.com/stats.php?id=62210
Kritch,Steel Brotherhood,5,http://blocgame.com/stats.php?id=63155
FreakTopia,The Order,,http://blocgame.com/stats.php?id=45527
Wafflonia,SPQR,,http://blocgame.com/stats.php?id=63064
Moneymaking,Steel Brotherhood,,http://blocgame.com/stats.php?id=64271
Ceannesburg,The Order,,http://blocgame.com/stats.php?id=56500
AfganiBoy,The United Nations,,http://blocgame.com/stats.php?id=62098
Thimerica,Steel Brotherhood,,http://blocgame.com/stats.php?id=62883
Bruce Man,The Divine Council,,http://blocgame.com/stats.php?id=59564
Robots,Interpol,,http://blocgame.com/stats.php?id=40242
Vorcs,PIRATES,,http://blocgame.com/stats.php?id=61955
Persona-Grata,PIRATES,,http://blocgame.com/stats.php?id=60788
House Tyrell,SPQR,,http://blocgame.com/stats.php?id=64093
Iwo Jima,The Order,,http://blocgame.com/stats.php?id=63259
720instaswap,,,http://blocgame.com/stats.php?id=62714
Edtopia,The Federal Colonies,,http://blocgame.com/stats.php?id=249
Sordidia,The Order,,http://blocgame.com/stats.php?id=63203
Smyrno,Steel Brotherhood,,http://blocgame.com/stats.php?id=62960
The Deserted,Steel Brotherhood,,http://blocgame.com/stats.php?id=40459
Borneon,PIRATES,5,http://blocgame.com/stats.php?id=61947
Sulon Grande,Brotherhood of Nod,,http://blocgame.com/stats.php?id=61038
Large Man,The Divine Council,1,http://blocgame.com/stats.php?id=52836
HiredGun,The Order,,http://blocgame.com/stats.php?id=53353
kufr conquerors,Brotherhood of Nod,,http://blocgame.com/stats.php?id=59579
Turbanistan,The Order,,http://blocgame.com/stats.php?id=63007
Rebel Scum,,,http://blocgame.com/stats.php?id=63844
Andes,The Divine Council,,http://blocgame.com/stats.php?id=51547
Olympia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=51354
Nameck,Interpol,,http://blocgame.com/stats.php?id=61968
Vursian,PIRATES,,http://blocgame.com/stats.php?id=62540
fjortonattio8,The Order,,http://blocgame.com/stats.php?id=63413
Neu-Berlin,The Order,,http://blocgame.com/stats.php?id=63504
Based World,SPQR,,http://blocgame.com/stats.php?id=58035
Alanies,The Order,,http://blocgame.com/stats.php?id=54617
Laurence,Brotherhood of Nod,1,http://blocgame.com/stats.php?id=49637
Briggs,SPQR,,http://blocgame.com/stats.php?id=53442
johoreansouth,PIRATES,,http://blocgame.com/stats.php?id=61895
Hajoki,The Khilafah,,http://blocgame.com/stats.php?id=60093
Rogue Nation,The Order,,http://blocgame.com/stats.php?id=64135
Targaria,SPQR,,http://blocgame.com/stats.php?id=42946
ZumbaZumbi,PIRATES,,http://blocgame.com/stats.php?id=61482
Uzbekistan.,Brotherhood of Nod,,http://blocgame.com/stats.php?id=59590
fetiwert,The Federal Colonies,,http://blocgame.com/stats.php?id=63124
Sarnath,The Federal Colonies,,http://blocgame.com/stats.php?id=62981
Wladimiria,The Divine Council,,http://blocgame.com/stats.php?id=52318
Pembunuh,PIRATES,,http://blocgame.com/stats.php?id=63737
Gulam,PIRATES,,http://blocgame.com/stats.php?id=63645
Wankmuffin,,,http://blocgame.com/stats.php?id=63325
Magical Horses,The Divine Council,,http://blocgame.com/stats.php?id=51070
United Pacific,Comintern,,http://blocgame.com/stats.php?id=63488
Infebiousness,Interpol,,http://blocgame.com/stats.php?id=40302
Bango,The Order,,http://blocgame.com/stats.php?id=59337
Amazonian Union,Steel Brotherhood,,http://blocgame.com/stats.php?id=59377
Panzer,The Order,,http://blocgame.com/stats.php?id=63748
Bahamat,The Khilafah,,http://blocgame.com/stats.php?id=64061
Viktoria,The Order,,http://blocgame.com/stats.php?id=40188
Lyon,The Order,,http://blocgame.com/stats.php?id=57382
Sana,The Order,,http://blocgame.com/stats.php?id=60262
Losong,PIRATES,,http://blocgame.com/stats.php?id=60570
Fedorians,Illuminati,,http://blocgame.com/stats.php?id=64028
Borgasha,The Order,,http://blocgame.com/stats.php?id=63407
Olut,The Order,,http://blocgame.com/stats.php?id=63682
The Abarat,The Order,,http://blocgame.com/stats.php?id=40068
Black Swamp,The United Nations,,http://blocgame.com/stats.php?id=51451
raja_png,PIRATES,,http://blocgame.com/stats.php?id=62000
Cartenesia,,,http://blocgame.com/stats.php?id=58994
pooperheds,,,http://blocgame.com/stats.php?id=63903
SUNGAI KERAK,PIRATES,,http://blocgame.com/stats.php?id=61710
United-Muslims,SPQR,,http://blocgame.com/stats.php?id=61674
Shinystan,The Order,,http://blocgame.com/stats.php?id=63522
Lepkonia,Interpol,,http://blocgame.com/stats.php?id=55854
Opallia,The Order,,http://blocgame.com/stats.php?id=63666
DZ Djeich,The Khilafah,,http://blocgame.com/stats.php?id=61408
Razgriskm,The Divine Council,,http://blocgame.com/stats.php?id=63117
Pokok Sena,PIRATES,,http://blocgame.com/stats.php?id=63144
Haaga,The Federal Colonies,,http://blocgame.com/stats.php?id=64322
Khebabistan,Steel Brotherhood,,http://blocgame.com/stats.php?id=51401
Sector 6,The Order,,http://blocgame.com/stats.php?id=63362
Savannah,Steel Brotherhood,,http://blocgame.com/stats.php?id=49817
Aratana Kibo,,,http://blocgame.com/stats.php?id=63197
MalayaMMP,PIRATES,,http://blocgame.com/stats.php?id=62383
Gobi,The Order,,http://blocgame.com/stats.php?id=61919
umok,The United Nations,,http://blocgame.com/stats.php?id=62724
SrpskaRepublika,The Order,,http://blocgame.com/stats.php?id=63541
Afrikizonia,Steel Brotherhood,,http://blocgame.com/stats.php?id=63138
Spaolia,The Federal Colonies,,http://blocgame.com/stats.php?id=56845
Idaho,The Order,,http://blocgame.com/stats.php?id=63484
nation name,Interpol,1,http://blocgame.com/stats.php?id=49652
Skhimm,Brotherhood of Nod,,http://blocgame.com/stats.php?id=52362
Tuaran,,,http://blocgame.com/stats.php?id=61828
axmbest,,,http://blocgame.com/stats.php?id=61772
Norwegia,The Order,,http://blocgame.com/stats.php?id=30
Osia,Brotherhood of Nod,,http://blocgame.com/stats.php?id=40431
Llorxye,PIRATES,,http://blocgame.com/stats.php?id=61688
DevilsAndDemons,Steel Brotherhood,,http://blocgame.com/stats.php?id=64116
lordmason22,,,http://blocgame.com/stats.php?id=63733
Titiwangsa,PIRATES,,http://blocgame.com/stats.php?id=61596
Zuyazayuza,The Order,,http://blocgame.com/stats.php?id=62470
Labuair,PIRATES,,http://blocgame.com/stats.php?id=62573
Walmart,The Order,,http://blocgame.com/stats.php?id=57903
Ralu,The Divine Council,,http://blocgame.com/stats.php?id=59527
Psiloybia,The Order,,http://blocgame.com/stats.php?id=45249
Inferia,Divine League,,http://blocgame.com/stats.php?id=60789
AA,PIRATES,,http://blocgame.com/stats.php?id=64255
Sumchakastan,The Khilafah,,http://blocgame.com/stats.php?id=41444
Prometheus,The Divine Council,,http://blocgame.com/stats.php?id=56022
DFWEFWEF,Interpol,,http://blocgame.com/stats.php?id=55118
KaleCepo,PIRATES,,http://blocgame.com/stats.php?id=60711
Terra Predonum,Steel Brotherhood,,http://blocgame.com/stats.php?id=62885
Invasion Nation,Steel Brotherhood,,http://blocgame.com/stats.php?id=64541
Errvistan,The Order,,http://blocgame.com/stats.php?id=64330
Octobia,The Federal Colonies,,http://blocgame.com/stats.php?id=61272
Nahrin,PIRATES,,http://blocgame.com/stats.php?id=62160
Bolshevikistan,Brotherhood of Nod,,http://blocgame.com/stats.php?id=60189
Darkstone,The Divine Council,,http://blocgame.com/stats.php?id=57176
Nimei,Illuminati,,http://blocgame.com/stats.php?id=64022
Cyrodill,The Order,,http://blocgame.com/stats.php?id=53759
Nova Ikaki,Brotherhood of Nod,,http://blocgame.com/stats.php?id=55911
Cascoia,The Order,,http://blocgame.com/stats.php?id=54174
Pooland,Brotherhood of Nod,,http://blocgame.com/stats.php?id=49295
Rararaland,The Divine Council,,http://blocgame.com/stats.php?id=49272
RIPERINO,,,http://blocgame.com/stats.php?id=64163
SemutHitam,PIRATES,,http://blocgame.com/stats.php?id=62379
Lamerique,,,http://blocgame.com/stats.php?id=64104
Fuhrer,,,http://blocgame.com/stats.php?id=64260
New Wadowice,The Order,,http://blocgame.com/stats.php?id=61637
Free Vietnam,The Federal Colonies,,http://blocgame.com/stats.php?id=60426
Bosniastan,Brotherhood of Nod,,http://blocgame.com/stats.php?id=64305
Yummy Foods,Interpol,,http://blocgame.com/stats.php?id=54376
natangape,The Order,,http://blocgame.com/stats.php?id=61600
carefree,The Order,,http://blocgame.com/stats.php?id=61669
Funistan,,,http://blocgame.com/stats.php?id=8311
